# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,success_complete,success_star,consensus_complete,consensus_star,time_complete,time_star,time_succ_complete,time_succ_star,time_incorrect_complete,time_incorrect_star
3,0.5,0.6,68418,88418,100000,55245,1153099,3065535,794885,2910317,358214,155218
4,0.5,0.6,70400,96091,100000,32706,999727,2927800,668211,2893058,331516,34742
5,0.5,0.6,71809,98680,100000,20593,888883,2446073,689801,2439751,199082,6322
6,0.5,0.6,72942,99592,100000,13034,931989,2009755,696673,2007894,235316,1861
7,0.5,0.6,73968,99854,100000,8608,807926,1647234,651852,1645884,156074,1350
8,0.5,0.6,75240,99941,100000,5518,848806,1398895,678739,1398399,170067,496
9,0.5,0.6,76516,99976,100000,3720,690513,1186131,582102,1186122,108411,9
10,0.5,0.6,77358,99994,100000,2414,742540,1035643,609164,1035643,133376,0
11,0.5,0.6,77978,99997,100000,1533,642300,905953,543101,905953,99199,0
12,0.5,0.6,78916,99999,99999,1065,632722,811746,522095,811746,110627,0
13,0.5,0.6,79820,100000,100000,681,548167,740839,472306,740839,75861,0
14,0.5,0.6,80323,100000,100000,485,567589,675277,482029,675277,85560,0
15,0.5,0.6,80894,100000,100000,285,547193,619669,484140,619669,63053,0
16,0.5,0.6,81354,100000,100000,183,536950,575796,464416,575796,72534,0
17,0.5,0.6,82303,100000,100000,133,500006,532605,443062,532605,56944,0
18,0.5,0.6,82461,100000,99999,112,516695,498055,459107,498055,57588,0
19,0.5,0.6,82814,100000,100000,61,448687,463435,404083,463435,44604,0
20,0.5,0.6,83779,100000,100000,36,485667,438494,435304,438494,50363,0
21,0.5,0.6,84092,100000,100000,32,426870,413515,384774,413515,42096,0
22,0.5,0.6,84386,100000,100000,16,444135,392262,392223,392262,51912,0
23,0.5,0.6,84906,100000,100000,14,423201,376682,385949,376682,37252,0
24,0.5,0.6,85414,100000,100000,3,414579,352997,376566,352997,38013,0
25,0.5,0.6,85733,100000,99999,2,381445,337555,350915,337555,30530,0
26,0.5,0.6,86042,100000,100000,3,405298,323235,368566,323235,36732,0
27,0.5,0.6,86347,100000,100000,5,371951,307234,342978,307234,28973,0
28,0.5,0.6,86649,100000,100000,2,387382,296937,356206,296937,31176,0
30,0.5,0.6,87304,100000,100000,1,374990,273308,349804,273308,25186,0
29,0.5,0.6,86975,100000,100000,1,348715,283125,322929,283125,25786,0
31,0.5,0.6,87613,100000,100000,0,344066,260919,323067,260919,20999,0
32,0.5,0.6,87898,100000,100000,1,351084,253998,329030,253998,22054,0
33,0.5,0.6,88236,100000,100000,0,340058,244982,320221,244982,19837,0
34,0.5,0.6,88433,100000,99999,0,333096,236169,311392,236169,21704,0
35,0.5,0.6,88786,100000,100000,0,309765,227951,294859,227951,14906,0
36,0.5,0.6,88957,100000,100000,0,318438,221062,301041,221062,17397,0
37,0.5,0.6,89189,100000,100000,0,302753,212701,289057,212701,13696,0
38,0.5,0.6,89291,100000,100000,0,311236,207376,293222,207376,18014,0
39,0.5,0.6,89557,100000,100000,0,294773,201099,282058,201099,12715,0
40,0.5,0.6,89811,100000,100000,0,306758,194799,291104,194799,15654,0
# 235.83605 minutes elapsed
