# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,success_complete,success_star,consensus_complete,consensus_star,time_complete,time_star,time_succ_complete,time_succ_star,time_incorrect_complete,time_incorrect_star
9,0.5,0.51,53555,79727,100000,781,1541503,40334919,871777,28848617,669726,11486302
9,0.5,0.505,51876,66055,99999,819,1642144,45999754,872284,27931739,769860,18068015
9,0.5,0.515,55195,89208,100000,855,1429720,32984169,850805,26438738,578915,6545431
9,0.5,0.52,56729,94966,100000,953,1373417,25578966,860262,22439366,513155,3139600
9,0.5,0.525,58187,97772,100000,961,1267262,19257270,816281,17912006,450981,1345264
9,0.5,0.53,59761,99095,100000,1013,1254363,14398933,846212,13904674,408151,494259
9,0.5,0.535,61356,99621,100000,1090,1219682,10964299,839066,10789236,380616,175063
9,0.5,0.54,62891,99792,99999,1214,1151292,8278483,800985,8215426,350307,63057
9,0.5,0.545,64064,99882,100000,1320,1065244,6623258,764022,6605468,301222,17790
9,0.5,0.55,65423,99914,100000,1420,1021235,5257497,729258,5243509,291977,13988
9,0.5,0.555,66652,99943,100000,1649,991290,4317317,718077,4314670,273213,2647
9,0.5,0.56,67843,99917,99999,1876,925589,3608515,706762,3608478,218827,37
9,0.5,0.5650000000000001,69186,99939,100000,2007,935578,3037676,724640,3036832,210938,844
9,0.5,0.5700000000000001,70458,99952,99999,2171,911542,2582336,719703,2582327,191839,9
9,0.5,0.5750000000000001,71364,99955,100000,2401,841191,2219780,664932,2219772,176259,8
9,0.5,0.5800000000000001,72549,99969,100000,2573,796684,1939685,643766,1939672,152918,13
9,0.5,0.5850000000000001,73510,99979,100000,2857,771134,1699431,613158,1699429,157976,2
9,0.5,0.5900000000000001,74479,99975,100000,3119,728067,1492757,586330,1492752,141737,5
9,0.5,0.5950000000000001,75865,99981,100000,3349,740650,1332302,613077,1332295,127573,7
9,0.5,0.6000000000000001,76448,99984,100000,3666,686027,1188957,575247,1188957,110780,0
9,0.5,0.6050000000000001,77260,99980,100000,3905,668152,1070700,558932,1070700,109220,0
9,0.5,0.6100000000000001,78220,99991,100000,4179,592855,955950,505202,955941,87653,9
9,0.5,0.6150000000000001,79062,99997,100000,4656,584451,872850,501744,872850,82707,0
9,0.5,0.6200000000000001,79952,99989,100000,4916,553417,789364,477293,789364,76124,0
9,0.5,0.6250000000000001,80659,99993,100000,5260,548479,725255,470215,725253,78264,2
9,0.5,0.6300000000000001,81417,99997,100000,5689,505986,665190,440718,665190,65268,0
9,0.5,0.6350000000000001,82296,99994,100000,6285,487983,609633,427338,609633,60645,0
9,0.5,0.6400000000000001,82790,99995,100000,6635,475450,561951,415792,561945,59658,6
9,0.5,0.6450000000000001,83716,99996,99999,7166,464201,513210,410445,513210,53756,0
9,0.5,0.6500000000000001,84193,99996,100000,7716,426325,476281,378052,476281,48273,0
9,0.5,0.6550000000000001,84667,99996,100000,8055,421284,439735,377646,439735,43638,0
9,0.5,0.6600000000000001,85685,99999,100000,8538,431186,408008,392246,408008,38940,0
9,0.5,0.6650000000000001,86223,99997,100000,9087,408154,383643,370066,383643,38088,0
9,0.5,0.6700000000000002,86603,99999,100000,9786,396420,354730,361197,354728,35223,2
9,0.5,0.6750000000000002,87170,99998,99999,10412,369509,334474,342806,334474,26703,0
9,0.5,0.6800000000000002,87753,99998,100000,10844,352268,310477,324193,310477,28075,0
9,0.5,0.6850000000000002,88364,100000,100000,11441,342952,295970,316476,295970,26476,0
9,0.5,0.6900000000000002,88560,99999,99999,12220,335628,273641,315873,273641,19755,0
9,0.5,0.6950000000000002,89202,100000,100000,12714,312118,256186,290144,256186,21974,0
9,0.5,0.7000000000000002,89599,99997,100000,13216,301060,243302,284015,243300,17045,2
9,0.5,0.7050000000000002,90166,99999,100000,14476,296654,228311,275762,228311,20892,0
9,0.5,0.7100000000000002,90494,100000,100000,14912,286994,216394,269006,216394,17988,0
9,0.5,0.7150000000000002,90984,100000,100000,15537,293016,205191,277849,205191,15167,0
9,0.5,0.7200000000000002,91327,99997,100000,16469,279120,193515,263238,193515,15882,0
9,0.5,0.7250000000000002,91770,100000,100000,17640,259240,180023,246465,180023,12775,0
9,0.5,0.7300000000000002,92096,100000,100000,18180,259377,170517,247670,170517,11707,0
9,0.5,0.7350000000000002,92490,99999,100000,19024,239503,160885,231280,160885,8223,0
9,0.5,0.7400000000000002,92865,100000,100000,20013,228928,153030,221159,153030,7769,0
9,0.5,0.7450000000000002,93197,100000,100000,21043,245537,144884,233641,144884,11896,0
9,0.5,0.7500000000000002,93499,100000,100000,21724,223404,137487,212170,137487,11234,0
9,0.5,0.7550000000000002,93892,100000,100000,22716,221778,130323,214989,130323,6789,0
9,0.5,0.7600000000000002,94190,100000,100000,23535,212478,125943,205026,125943,7452,0
9,0.5,0.7650000000000002,94517,100000,99999,24589,200882,117145,192965,117145,7917,0
9,0.5,0.7750000000000002,94910,100000,100000,26588,181165,106760,177846,106760,3319,0
9,0.5,0.7700000000000002,94763,100000,100000,25542,197295,113434,190515,113434,6780,0
9,0.5,0.7800000000000002,95216,100000,100000,27671,185972,100445,180796,100445,5176,0
9,0.5,0.7850000000000003,95439,100000,100000,28813,180504,96000,176991,96000,3513,0
9,0.5,0.7950000000000003,95916,100000,100000,30976,165000,86449,160903,86449,4097,0
9,0.5,0.7900000000000003,95790,100000,100000,29852,177445,91300,172365,91300,5080,0
9,0.5,0.8000000000000003,96189,100000,100000,32245,178032,82916,172451,82916,5581,0
# 150.66873333333334 minutes elapsed
