# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
# Number of agents who are limited to just one arm: 3
num_agents,p0,p1,success
6,0.5,0.6,77059
7,0.5,0.6,79110
8,0.5,0.6,81294
9,0.5,0.6,82800
10,0.5,0.6,84365
11,0.5,0.6,84841
12,0.5,0.6,86168
13,0.5,0.6,86721
14,0.5,0.6,87338
15,0.5,0.6,87667
16,0.5,0.6,88516
17,0.5,0.6,88914
18,0.5,0.6,89431
19,0.5,0.6,89678
20,0.5,0.6,90141
21,0.5,0.6,90313
22,0.5,0.6,91098
23,0.5,0.6,91003
24,0.5,0.6,91378
25,0.5,0.6,91563
26,0.5,0.6,92031
27,0.5,0.6,92042
28,0.5,0.6,92430
29,0.5,0.6,92591
30,0.5,0.6,92680
31,0.5,0.6,92881
32,0.5,0.6,93173
33,0.5,0.6,93286
34,0.5,0.6,93358
35,0.5,0.6,93790
36,0.5,0.6,93904
37,0.5,0.6,93886
38,0.5,0.6,94126
39,0.5,0.6,94169
40,0.5,0.6,94441
