# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.52,43595,37090,31701,26803,21983,17350,11376,100000,100000,99999,100000,99999,99998,99995,10651511,8280952,7117472,6355288,6173005,5806356,6225579,8545649,5838007,4321465,3353308,2544762,1905774,1202575,2105862,2442945,2796007,3001980,3628243,3900582,5023004
9,0.5,0.51,34350,27457,22164,18071,14581,11171,7704,99999,100000,100000,99998,99997,99996,99999,14247246,11534647,10097856,8817041,7904199,7063062,6960803,9904880,6837662,4920052,3621021,2589754,1802458,1072534,4342366,4696985,5177804,5196020,5314445,5260604,5888269
9,0.5,0.515,39096,32416,27369,22587,18160,14221,9376,100000,99998,100000,99998,99999,100000,99999,12495147,9947487,8611212,7601783,7120901,6410275,6623865,9461578,6577007,4811499,3593491,2698825,1889772,1099284,3033569,3370480,3799713,4008292,4422076,4520503,5524581
9,0.5,0.505,28245,21550,17162,13400,10583,8360,5968,99998,99999,100000,100000,100000,99997,99997,15253595,13002306,11229761,9695345,8720125,7720103,7247830,9270536,6510485,4697599,3339226,2363891,1634780,965105,5983059,6491821,6532162,6356119,6356234,6085323,6282725
9,0.5,0.535,52623,47017,41788,36471,31110,25602,17463,100000,100000,99999,100000,99999,99999,99994,6081521,4361452,3989248,3703117,3947428,4028811,5013964,5170494,3301532,2617339,2171443,1920096,1638713,1226594,911027,1059920,1371909,1531674,2027332,2390098,3787370
9,0.5,0.53,49749,44002,38714,33613,28267,22835,15368,99999,100000,100000,99999,99997,100000,100000,7295514,5459196,4748324,4403925,4466164,4538288,5400803,6164422,4084699,3064506,2543071,2090254,1705132,1262886,1131092,1374497,1683818,1860854,2375910,2833156,4137917
9,0.5,0.525,46810,40831,35455,30346,25385,19990,13531,99999,100000,99999,100000,100000,99998,99998,8924708,6681796,5837905,5247381,5342410,5151289,5784638,7381712,4892335,3717091,2898132,2390924,1843326,1227604,1542996,1789461,2120814,2349249,2951486,3307963,4557034
9,0.5,0.54,54899,49346,44072,38961,33645,27850,19289,100000,99999,100000,99998,99999,100000,99999,4945844,3659189,3357779,3208640,3470290,3550527,4599072,4221329,2780178,2194939,1888237,1698050,1454254,1194203,724515,879011,1162840,1320403,1772240,2096273,3404869
9,0.5,0.545,56726,51713,46730,41356,35950,30251,21125,100000,100000,100000,99999,99998,99999,99999,4224077,3101858,2892673,2742662,3056035,3227329,4287388,3602857,2344070,1896056,1643927,1483186,1389192,1174708,621220,757788,996617,1098735,1572849,1838137,3112680
9,0.5,0.55,58749,53660,48944,43430,38355,31936,23330,99999,99999,99999,100000,99997,100000,99998,3481785,2618034,2524599,2452879,2777739,2892183,3992604,2958531,1976218,1673320,1476129,1396033,1260455,1163109,523254,641816,851279,976750,1381706,1631728,2829495
