# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.505,0.5,83977,89675,92474,94431,95584,96225,96947,99997,100000,100000,99999,99996,99999,99993,15396923,13091994,11306323,9707300,8579556,7480826,6900744,8943985,9044833,8520634,7747251,7168476,6439056,6242026,6452938,4047161,2785689,1960049,1411080,1041770,658718
9,0.52,0.5,96352,98631,99219,99391,99483,99383,99231,99999,99999,100000,99999,100000,100000,99999,10616162,8305566,7017667,6236963,5764161,5391063,4865281,8970120,7613369,6619238,5901986,5511161,5119128,4627550,1646042,692197,398429,334977,253000,271935,237731
9,0.515,0.5,93533,96991,98097,98608,98746,98798,98766,99998,100000,100000,100000,100000,99999,100000,12593347,10024594,8730416,7477248,6870074,6133637,5372525,9705427,8622557,7818891,6839040,6316063,5690858,5029474,2887920,1402037,911525,638208,554011,442779,343051
9,0.51,0.5,89209,94076,96047,97045,97570,97825,97917,99999,99998,99998,100000,100000,99999,100000,14299292,11791400,10096658,8697915,7865995,6877099,6200496,9701991,9246061,8410292,7501477,6948040,6208188,5715479,4597301,2545339,1686366,1196438,917955,668911,485017
9,0.525,0.5,98096,99450,99742,99796,99803,99717,99563,100000,100000,100000,100000,99999,100000,100000,8870967,6851485,5682178,5227215,4774591,4681762,4421495,8026607,6588712,5537432,5109799,4674975,4519704,4263762,844360,262773,144746,117416,99616,162058,157733
9,0.53,0.5,99089,99819,99915,99907,99919,99873,99774,100000,100000,100000,100000,99999,100000,100000,7321421,5479436,4632013,4281104,4037445,4097644,3843669,6928581,5378323,4573946,4220916,3982570,4022139,3747433,392840,101113,58067,60188,54875,75505,96236
9,0.535,0.5,99605,99940,99959,99972,99968,99957,99865,100000,100000,100000,100000,100000,100000,100000,6025611,4423425,3834183,3599669,3453796,3506559,3360191,5853338,4387507,3802570,3579695,3424707,3476569,3293874,172273,35918,31613,19974,29089,29990,66317
9,0.54,0.5,99832,99978,99990,99993,99984,99980,99933,99999,100000,100000,100000,99999,100000,100000,4915409,3690905,3162735,3068233,2962525,3117129,2994450,4845672,3677876,3155574,3061633,2947944,3098156,2953032,69737,13029,7161,6600,14581,18973,41418
9,0.545,0.5,99946,99994,99993,99993,99990,99990,99951,100000,100000,100000,100000,100000,100000,100000,4164449,3125944,2731210,2636151,2578794,2724084,2682674,4146448,3120589,2724393,2629250,2569999,2715019,2648392,18001,5355,6817,6901,8795,9065,34282
9,0.55,0.5,99980,99995,100000,99997,99996,99993,99988,100000,100000,100000,100000,100000,100000,100000,3475375,2679577,2331823,2297959,2253627,2440350,2372858,3466513,2674617,2331823,2294977,2249707,2433590,2362736,8862,4960,0,2982,3920,6760,10122
