# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.51,61391,60895,59364,57862,56078,54475,52742,99998,100000,99999,99999,99997,99999,99997,14174352,11757334,10117863,8773007,7818717,7037129,6504100,9684096,8071014,6724157,5607625,4699050,4039158,3348434,4490256,3686320,3393706,3165382,3119667,2997971,3155666
9,0.5,0.52,69956,67998,65204,63128,60582,58600,55391,100000,100000,99999,100000,99999,99998,99999,10673744,8359852,7092240,6242608,5907624,5569703,5571413,8846632,6824986,5467433,4604384,4012626,3504064,2901473,1827112,1534866,1624807,1638224,1894998,2065639,2669940
9,0.5,0.515,66593,64706,62796,60551,58664,56395,54245,100000,100000,99999,99999,99998,99999,99996,12450698,10061087,8571520,7578074,7105564,6309608,5959330,9511541,7665561,6250220,5242300,4583609,3809409,3090569,2939157,2395526,2321300,2335774,2521955,2500199,2868761
9,0.5,0.505,56154,55351,54854,53787,53025,52167,51029,99998,99998,99996,100000,100000,99998,99997,15321350,12947958,11132086,9727345,8726004,7611954,7047492,9096552,7672583,6597684,5510276,4850495,4072574,3548673,6224798,5275375,4534402,4217069,3875509,3539380,3498819
9,0.5,0.53,74703,71552,69264,66542,64072,61374,57828,100000,100000,100000,100000,99999,100000,100000,7393659,5444895,4707793,4255749,4302999,4252783,4630280,6634348,4671098,3846862,3306644,3020554,2831326,2527996,759311,773797,860931,949105,1282445,1421457,2102284
9,0.5,0.535,75943,73249,70982,68020,65659,62598,58599,100000,99999,100000,99999,100000,99998,99997,5928370,4429617,3912142,3685380,3671762,3766568,4218257,5384094,3863693,3220049,2915727,2623547,2559613,2274974,544276,565924,692093,769653,1048215,1206955,1943283
9,0.5,0.525,72465,70107,67545,65092,62515,59920,56463,100000,100000,100000,100000,99999,99999,99999,8833621,6690909,5777594,5250568,4983370,4882903,5044730,7654577,5662687,4609258,3988515,3452165,3135326,2666298,1179044,1028222,1168336,1262053,1531205,1747577,2378432
9,0.5,0.54,77259,74482,72192,69399,66667,63905,59921,100000,100000,100000,100000,99999,99999,99999,4911429,3692804,3312370,3122829,3167283,3330471,3764205,4521592,3217666,2709649,2463485,2259785,2274038,2040734,389837,475138,602721,659344,907498,1056433,1723471
9,0.5,0.55,79296,76959,74625,71867,69205,65875,61515,100000,100000,100000,100000,100000,99999,99999,3495969,2649202,2460826,2380426,2521311,2618648,3146330,3223058,2324214,2021860,1877187,1831863,1803288,1711573,272911,324988,438966,503239,689448,815360,1434757
9,0.5,0.545,78405,75743,73653,70746,68257,65284,60513,100000,100000,100000,100000,99998,99999,99999,4166812,3135494,2849539,2693511,2803957,2991786,3467941,3827568,2766561,2337964,2124012,2036272,2046848,1885140,339244,368933,511575,569499,767685,944938,1582801
