# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,success,consensus,time
3,0.5,0.6,76993,70300,2645854
4,0.5,0.6,83861,51935,2633849
5,0.5,0.6,89102,39170,2553720
6,0.5,0.6,92280,30501,2351599
7,0.5,0.6,94641,23956,2196221
8,0.5,0.6,96145,19491,1983555
9,0.5,0.6,97162,15959,1833715
10,0.5,0.6,98046,13194,1644320
11,0.5,0.6,98428,10997,1530994
12,0.5,0.6,98917,9252,1406265
13,0.5,0.6,99127,7903,1277147
14,0.5,0.6,99271,6655,1154925
15,0.5,0.6,99454,5620,1058252
16,0.5,0.6,99554,4853,986559
17,0.5,0.6,99614,4289,918294
18,0.5,0.6,99708,3618,869397
19,0.5,0.6,99733,2982,795695
20,0.5,0.6,99760,2784,722817
21,0.5,0.6,99810,2388,659815
22,0.5,0.6,99837,2030,655555
23,0.5,0.6,99853,1779,585929
24,0.5,0.6,99879,1516,566875
25,0.5,0.6,99883,1292,535773
26,0.5,0.6,99907,1158,494875
27,0.5,0.6,99918,1022,478210
28,0.5,0.6,99934,1023,435198
29,0.5,0.6,99930,822,435308
30,0.5,0.6,99921,712,413066
32,0.5,0.6,99942,515,368920
31,0.5,0.6,99939,603,379906
33,0.5,0.6,99937,473,349738
34,0.5,0.6,99949,405,336853
36,0.5,0.6,99962,285,312749
35,0.5,0.6,99963,341,327233
37,0.5,0.6,99964,260,287966
38,0.5,0.6,99967,260,279624
39,0.5,0.6,99979,216,282045
40,0.5,0.6,99976,201,258121
# 255.37423333333334 minutes elapsed
