# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,success,consensus,time
3,0.5,0.6,80246,99997,1832397
4,0.5,0.6,87084,99976,1981539
5,0.5,0.6,90921,99979,1914531
6,0.5,0.6,93345,99969,1881973
7,0.5,0.6,95032,99973,1754350
8,0.5,0.6,96243,99973,1659844
9,0.5,0.6,97121,99981,1622458
10,0.5,0.6,97780,99985,1538989
11,0.5,0.6,98137,99987,1418379
12,0.5,0.6,98614,99984,1357245
13,0.5,0.6,98919,99985,1304481
14,0.5,0.6,99188,99987,1189420
15,0.5,0.6,99371,99981,1167020
16,0.5,0.6,99473,99984,1120231
17,0.5,0.6,99603,99977,1076702
18,0.5,0.6,99667,99980,1013543
19,0.5,0.6,99748,99980,976875
20,0.5,0.6,99782,99982,953151
21,0.5,0.6,99847,99982,916518
22,0.5,0.6,99883,99980,878119
23,0.5,0.6,99911,99987,837367
24,0.5,0.6,99907,99986,801777
25,0.5,0.6,99940,99980,747510
26,0.5,0.6,99951,99991,724574
27,0.5,0.6,99959,99979,696767
28,0.5,0.6,99969,99981,675463
29,0.5,0.6,99970,99981,647630
30,0.5,0.6,99974,99982,629539
31,0.5,0.6,99984,99989,595069
32,0.5,0.6,99982,99990,576146
33,0.5,0.6,99992,99976,551723
34,0.5,0.6,99983,99978,526120
35,0.5,0.6,99986,99978,508265
36,0.5,0.6,99990,99965,497164
37,0.5,0.6,99997,99976,471939
38,0.5,0.6,99997,99982,448712
39,0.5,0.6,100000,99983,431724
40,0.5,0.6,99998,99978,423581
# 262.80786666666665 minutes elapsed
