# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,success,consensus,time
3,0.5,0.6,78897,85051,2197346
4,0.5,0.6,85520,75797,2316828
5,0.5,0.6,90067,69562,2211308
6,0.5,0.6,92835,65374,2123765
7,0.5,0.6,94892,61829,1984245
8,0.5,0.6,96264,59530,1825364
9,0.5,0.6,97106,58086,1697490
10,0.5,0.6,97851,56499,1557257
11,0.5,0.6,98353,55488,1482049
12,0.5,0.6,98729,54663,1381715
13,0.5,0.6,99003,53754,1285368
14,0.5,0.6,99242,53539,1204698
15,0.5,0.6,99442,53029,1135322
16,0.5,0.6,99492,52438,1072880
17,0.5,0.6,99621,52160,977538
18,0.5,0.6,99682,51682,948708
19,0.5,0.6,99757,51836,900023
20,0.5,0.6,99769,51399,830704
21,0.5,0.6,99850,50903,781001
22,0.5,0.6,99853,50668,765945
23,0.5,0.6,99892,50752,716633
24,0.5,0.6,99895,50767,666239
25,0.5,0.6,99902,50499,642753
26,0.5,0.6,99938,50872,616623
27,0.5,0.6,99926,50879,600536
29,0.5,0.6,99954,50266,551833
28,0.5,0.6,99945,50210,558506
30,0.5,0.6,99949,50405,503968
31,0.5,0.6,99963,50409,489048
32,0.5,0.6,99966,50291,463017
33,0.5,0.6,99967,50369,445380
34,0.5,0.6,99971,50064,428635
35,0.5,0.6,99974,50044,420315
36,0.5,0.6,99983,49907,399310
37,0.5,0.6,99984,50222,381540
38,0.5,0.6,99983,50358,368450
39,0.5,0.6,99988,50155,368035
40,0.5,0.6,99983,49736,341102
# 261.3996 minutes elapsed
