# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
num_agents,p0,p1,success,consensus,time,success_time,incorrect_time
9,0.5,0.52,77284,67799,15936472,12161590,3774882
9,0.5,0.515,72022,68954,18663244,13218507,5444737
9,0.5,0.51,65387,69819,21054004,13457792,7596212
9,0.5,0.505,57829,69865,22924003,13075984,9848019
9,0.5,0.53,84175,65634,11235856,9516260,1719596
9,0.5,0.525,81200,66495,13499862,10935947,2563915
9,0.5,0.54,88768,62847,7802178,7045118,757060
9,0.5,0.535,86807,64249,9329249,8241391,1087858
9,0.5,0.555,92266,60361,4714677,4460353,254324
9,0.5,0.545,90147,61736,6504398,6009954,494444
9,0.5,0.55,91513,60946,5551902,5222156,329746
9,0.5,0.56,93271,60034,4106812,3912393,194419
9,0.5,0.5700000000000001,94780,58806,3152058,3043958,108100
9,0.5,0.5650000000000001,93977,59520,3579041,3436625,142416
9,0.5,0.5750000000000001,95327,58574,2808021,2727601,80420
9,0.5,0.5800000000000001,95995,58390,2507110,2445558,61552
9,0.5,0.5850000000000001,96117,58278,2233698,2188186,45512
9,0.5,0.5900000000000001,96629,58049,2012921,1975209,37712
9,0.5,0.5950000000000001,96971,57897,1860108,1834669,25439
9,0.5,0.6000000000000001,97213,57814,1684154,1663025,21129
9,0.5,0.6050000000000001,97452,57628,1527792,1503979,23813
9,0.5,0.6100000000000001,97596,58286,1419732,1398767,20965
9,0.5,0.6150000000000001,97814,58132,1286759,1268702,18057
9,0.5,0.6200000000000001,97996,58090,1190787,1175575,15212
9,0.5,0.6250000000000001,98044,58292,1137091,1119265,17826
9,0.5,0.6300000000000001,98205,58086,1024155,1010643,13512
9,0.5,0.6350000000000001,98436,58525,933778,920792,12986
9,0.5,0.6400000000000001,98499,58699,879062,869607,9455
9,0.5,0.6450000000000001,98585,58669,850222,843255,6967
9,0.5,0.6500000000000001,98735,58367,792137,789406,2731
9,0.5,0.6550000000000001,98826,59053,768183,765642,2541
9,0.5,0.6600000000000001,98824,59243,765145,762480,2665
9,0.5,0.6650000000000001,98881,59191,761957,757173,4784
9,0.5,0.6700000000000002,98930,59323,725200,719494,5706
9,0.5,0.6750000000000002,98852,59394,633206,624940,8266
9,0.5,0.6800000000000002,98707,59387,576696,560559,16137
9,0.5,0.6850000000000002,98689,59746,523734,506155,17579
9,0.5,0.6900000000000002,98539,59786,486772,457289,29483
9,0.5,0.6950000000000002,98450,59687,450830,415366,35464
9,0.5,0.7000000000000002,98521,59910,458456,406333,52123
9,0.5,0.7050000000000002,98296,59867,470387,373494,96893
9,0.5,0.7100000000000002,98230,60142,500200,380356,119844
9,0.5,0.7150000000000002,98302,60444,499078,398862,100216
9,0.5,0.7200000000000002,98324,60358,465434,406994,58440
9,0.5,0.7250000000000002,98324,60672,387199,352108,35091
9,0.5,0.7350000000000002,98210,61450,361050,277491,83559
9,0.5,0.7300000000000002,98280,61092,348960,303028,45932
9,0.5,0.7400000000000002,98156,61206,407986,262370,145616
9,0.5,0.7450000000000002,98191,61629,540733,309043,231690
9,0.5,0.7550000000000002,98589,62630,499475,426024,73451
9,0.5,0.7500000000000002,98398,62439,574832,396334,178498
9,0.5,0.7600000000000002,98626,63000,375750,349982,25768
9,0.5,0.7700000000000002,98611,63862,230312,208530,21782
9,0.5,0.7650000000000002,98601,63573,280719,262274,18445
9,0.5,0.7750000000000002,98533,64178,229137,196835,32302
9,0.5,0.7800000000000002,98520,64619,215782,164355,51427
9,0.5,0.7850000000000003,98477,64820,240846,158741,82105
9,0.5,0.7900000000000003,98472,65177,314212,158697,155515
9,0.5,0.7950000000000003,98546,65598,471218,213389,257829
9,0.5,0.8000000000000003,98782,66407,542099,305470,236629
# 84.95068333333333 minutes elapsed
