# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.505,33991,30047,25846,21393,16515,11426,5894,34891,37184,39092,41069,43422,45340,51161,23295441,20776886,18357489,15860861,13226001,10517501,7233611,10331640,8531420,6824166,5199548,3576824,2215897,960614,12963801,12245466,11533323,10661313,9649177,8301604,6272997
9,0.5,0.51,42469,37807,32692,26853,21168,14574,7605,31283,33773,36468,39079,41503,44805,51851,21583184,19699804,17394385,15028791,12644472,9968103,6897402,11121387,9406906,7582577,5646127,4000891,2424448,1026930,10461797,10292898,9811808,9382664,8643581,7543655,5870472
9,0.5,0.515,50765,44967,39141,32771,25559,18184,9510,27068,29990,32878,35861,39229,42802,51400,19470419,17614786,15928985,13988140,11701587,9359207,6701355,11249375,9404053,7780963,6040975,4175600,2587025,1178242,8221044,8210733,8148022,7947165,7525987,6772182,5523113
9,0.5,0.52,58035,52258,45746,38583,30507,21751,11607,23679,26323,29673,33043,36627,41454,51891,17063228,15592089,14157102,12609977,10734022,8673752,6216831,10941310,9308115,7729197,6040615,4392106,2695974,1211594,6121918,6283974,6427905,6569362,6341916,5977778,5005237
9,0.5,0.525,64654,58556,51779,44045,35317,25219,13684,20426,23306,26733,30504,34739,40232,51960,14418932,13548078,12404672,11167149,9671912,7852216,5839843,10017081,8812349,7359559,5885825,4296892,2709155,1260576,4401851,4735729,5045113,5281324,5375020,5143061,4579267
9,0.5,0.53,69576,63814,57157,48944,39833,28426,15340,17912,20484,23825,28112,32545,39154,51930,12176822,11634243,10783991,9760516,8574571,7165130,5382897,8975535,8125700,6962414,5568794,4185845,2637955,1252635,3201287,3508543,3821577,4191722,4388726,4527175,4130262
9,0.5,0.54,78074,72442,65940,57489,47302,34916,19411,13316,15807,19040,23196,28824,36344,51540,8681456,8437700,7936961,7497057,6715992,5859356,4631105,7109578,6512771,5712089,4820892,3729314,2487943,1214637,1571878,1924929,2224872,2676165,2986678,3371413,3416468
9,0.5,0.535,74026,68441,61308,53621,43583,31793,17276,15399,18301,21661,25361,30731,37827,52012,10273047,9816292,9224900,8565608,7663144,6421568,5002141,8014164,7202295,6235055,5176960,3986828,2588503,1241634,2258883,2613997,2989845,3388648,3676316,3833065,3760507
9,0.5,0.55,83880,78753,72777,64219,54025,40524,23170,10255,12533,15547,20021,25707,34162,51706,6340627,6256636,6140548,5854924,5403646,4886239,4037621,5497391,5129058,4717533,4062500,3273677,2311506,1147554,843236,1127578,1423015,1792424,2129969,2574733,2890067
9,0.5,0.545,81038,75902,69291,61240,50694,37862,21263,11735,14091,17512,21415,27361,35190,51581,7282910,7261210,6994133,6517288,6043158,5396045,4231471,6146603,5839072,5218460,4411710,3482766,2389168,1121728,1136307,1422138,1775673,2105578,2560392,3006877,3109743
