# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.515,0.5,92791,93494,94397,95303,96376,97489,98677,89664,91429,93020,94370,95734,97068,98395,18525617,16667475,14821797,12847943,10535804,8169140,5442431,15157336,13803669,12480821,11047482,9292786,7392371,5098042,3368281,2863806,2340976,1800461,1243018,776769,344389
9,0.51,0.5,88282,89496,90894,92513,94205,95971,97954,82134,84561,86730,88811,90684,92503,94692,21097413,18935728,16670000,14329170,11826283,9097693,6248352,16029945,14654667,13221076,11684030,9990937,7975969,5738926,5067468,4281061,3448924,2645140,1835346,1121724,509426
9,0.505,0.5,81978,83890,86166,88830,91008,94068,96934,65470,67901,70333,72677,74531,76944,80125,22954924,20779697,18275969,15680481,12933385,10060961,6927145,15981144,14864204,13611126,12129848,10410662,8601227,6301121,6973780,5915493,4664843,3550633,2522723,1459734,626024
9,0.52,0.5,95875,96212,96650,97338,97937,98483,99246,93712,94926,95857,96831,97689,98403,99227,15874981,14427727,12929021,11272762,9346030,7242846,4909772,13731850,12602818,11402938,10122376,8542608,6694910,4683163,2143131,1824909,1526083,1150386,803422,547936,226609
9,0.535,0.5,99432,99493,99518,99606,99686,99787,99860,98887,99146,99301,99478,99621,99772,99860,9062003,8600192,7890135,7020450,5939170,4757671,3380168,8728868,8293023,7605666,6810536,5779744,4637800,3314326,333135,307169,284469,209914,159426,119871,65842
9,0.525,0.5,97815,97941,98263,98485,98744,99181,99545,96348,97080,97703,98157,98590,99132,99545,13276856,12180961,11045121,9750683,8297372,6339823,4369026,12091766,11119670,10200849,9043689,7739281,6030847,4210709,1185090,1061291,844272,706994,558091,308976,158317
9,0.53,0.5,98851,98973,99026,99213,99370,99534,99750,97922,98358,98655,98989,99252,99501,99750,11114650,10247263,9240852,8305308,7080668,5408172,3750867,10462686,9672506,8743539,7916039,6769343,5197711,3649204,651964,574757,497313,389269,311325,210461,101663
9,0.54,0.5,99732,99768,99782,99793,99826,99881,99938,99407,99549,99638,99705,99785,99864,99938,7519836,7177286,6687444,6005693,5245799,4156401,3071376,7344717,7021621,6547303,5878389,5136644,4084651,3032505,175119,155665,140141,127304,109155,71750,38871
9,0.545,0.5,99881,99881,99903,99909,99904,99922,99957,99701,99760,99821,99866,99875,99910,99957,6313678,6096577,5641460,5133508,4516185,3662228,2676464,6222680,6008936,5573484,5071099,4449371,3603932,2647241,90998,87641,67976,62409,66814,58296,29223
9,0.55,0.5,99944,99927,99949,99940,99955,99964,99983,99844,99830,99895,99913,99932,99954,99983,5296736,5252093,4849318,4460715,3987544,3223356,2341754,5252803,5195856,4808178,4410934,3954861,3195945,2328759,43933,56237,41140,49781,32683,27411,12995
