# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.51,65181,63368,61653,59736,57668,55208,52955,56537,58593,61280,63681,65998,68173,72870,21475272,19341534,17153993,14596578,12112780,9536804,6631804,13607465,11986701,10495994,8756848,6966733,5232101,3427228,7867807,7354833,6657999,5839730,5146047,4304703,3204576
9,0.5,0.505,57959,57101,56229,55270,53798,52500,51353,50615,52771,55035,56863,59295,61574,66281,23210366,20900273,18373209,15745029,12935330,10420379,7086066,13262666,11719510,10285347,8690264,6913822,5443120,3586351,9947700,9180763,8087862,7054765,6021508,4977259,3499715
9,0.5,0.52,76762,74139,71125,67723,64263,59986,55348,58621,60764,63069,64992,67677,69956,75520,16426411,15001729,13576899,11822937,10014475,7871600,5629764,12259111,10954834,9649662,7990681,6470411,4641204,2958621,4167300,4046895,3927237,3832256,3544064,3230396,2671143
9,0.5,0.515,71863,69014,66919,64226,61255,57645,54337,58735,60658,63086,65081,67718,69897,75051,19018098,17384700,15254847,13525710,11082099,8762486,6084692,13188604,11737620,10173328,8625987,6826006,4966436,3196804,5829494,5647080,5081519,4899723,4256093,3796050,2887888
9,0.5,0.54,88687,86031,82792,78419,73641,67374,59667,56254,57799,59601,61213,64467,67826,75800,8143509,7846995,7298883,6687559,5897580,4944038,3823892,7209642,6786131,6088378,5285147,4344902,3254153,2097972,933867,1060864,1210505,1402412,1552678,1689885,1725920
9,0.5,0.535,86996,83826,80750,76416,71657,65829,58498,57239,58614,60414,62438,65184,68629,75823,9778745,9208366,8531580,7923700,6786279,5667681,4197425,8497397,7798594,6945771,6129819,4861403,3669187,2288700,1281348,1409772,1585809,1793881,1924876,1998494,1908725
9,0.5,0.525,81123,78180,74800,71236,67120,62149,56462,58380,60186,61990,64236,66958,69734,75743,13845594,12941735,11662696,10343026,8821347,7143969,5153544,11061213,10001830,8675169,7368179,5924427,4335577,2750388,2784381,2939905,2987527,2974847,2896920,2808392,2403156
9,0.5,0.53,84462,81364,78027,74222,69376,63821,57690,57816,59675,61177,63447,65909,69187,75582,11534524,11046667,10107591,8979343,7793148,6298013,4615050,9684390,8955430,7903234,6695555,5442478,3944005,2434896,1850134,2091237,2204357,2283788,2350670,2354008,2180154
9,0.5,0.545,90637,87877,84570,80698,75087,68872,60379,55503,56925,58824,60699,63449,67632,75965,6779375,6611222,6312105,5879157,5271812,4488933,3450856,6185271,5839513,5366356,4781675,3941674,3003569,1873082,594104,771709,945749,1097482,1330138,1485364,1577774
9,0.5,0.55,91806,89419,86085,82172,76617,69991,61586,54872,56438,57935,59972,62787,67424,76026,5818312,5745303,5497806,5110633,4701839,4044981,3227022,5384635,5171046,4751356,4236774,3598810,2694444,1745332,433677,574257,746450,873859,1103029,1350537,1481690
