# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
# q: 0.6
index,comp_succ,comp_inc,diss_succ,diss_inc,cond_succ,cond_inc,hybrid_succ,hybrid_inc
0,5,3,6,1,6,1,3,1
1,1,23,28,4,1,1,1,24
2,23,7,94,1,3,1,1,7
3,1,4,18,3,6,8,1,1
4,1,1,34,1,16,1,1,7
5,11,1,43,1,18,8,16,1
6,1,1,17,1,6,1,1,1
7,1,1,7,1,30,1,8,26
8,3,1,4,1,9,1,3,1
9,3,4,25,1,1,1,10,7
10,1,1,1,1,25,1,31,14
11,4,1,19,1,1,1,14,331
12,8,1,10,1,4,1,14,1
13,1,1,5,3,1,11,16,7
14,1,1,1,1,1,1,453,1
15,1,1,4,37,1,16,4,1
16,3,1,6,1,36,1,16,1
17,1,1,64,5,1,3,11,7
18,3,1,3,18,4,1,5,19
19,8,1,5,1,1,1,9,6
20,1,3,36,5,1,1,36,9
21,10,28,9,1,3,1,6,1
22,5,1,13,3,1,1,101,3
23,1,1,3,5,1,1,1,1
24,7,3,11,1,1,6,1,5
25,5,5,24,1,1,1,16,4
26,1,1,1,1,1,6,3,1
27,1,5,4,1,1,1,1,1
28,1,1,9,1,7,3,37,7
29,20,11,3,1,1,1,4,1
30,1,1,4,1,4,5,11,4
31,1,3,1,1,1,1,1,1
32,12,1,3,1,1,1,4,1
33,11,1,48,1,10,1,14,7
34,61,1,47,1,1,7,4,1
35,4,1,10,1,6,3,6,1
36,1,1,1,1,1,6,22,11
37,3,1,35,1,1,9,3,199
38,1,1,24,1,35,3,3,168
39,1,1,42,8,1,1,3,5
40,6,1,4,1,1,4,39,5
41,3,1,4,1,10,1,28,1
42,1,5,10,1,9,1,1,1
43,3,3,1,13,5,1,83,3
44,4,4,106,1,91,1,4,1
45,1,3,1,7,3,3,1,4
46,1,1,10,1,7,1,41,3
47,4,1,1,24,4,7,4,6
48,53,1,18,1,1,1,4,1
49,37,1,6,1,7,1,30,118
50,5,1,3,11,3,1,36,1
51,1,1,1,1,11,1,4,1
52,4,1,1,11,6,1,1,1
53,1,1,7,1,3,1,3,3
54,1,1,10,1,8,1,1,57
55,1,1,13,39,8,1,1,5
56,8,3,4,1,14,3,451,7
57,1,1,1,1,1,1,1,226
58,1,7,6,1,1,3,3,1
59,31,1,20,1,1,1,9,79
60,1,1,5,28,10,1,11,4
61,1,1,1,1,50,1,4,28
62,5,1,7,1,1,1,1,1
63,3,1,20,1,8,1,14,1
64,6,1,8,1,1,1,1,1
65,1,3,25,1,3,3,1,1
66,1,1,1,1,3,5,21,1
67,4,1,1,4,1,588,67,3
68,1,1,41,5,1,1,4,9
69,1,1,1,1,7,1,6,20
70,1,3,3,4,1,6,3,1
71,4,1,59,1,4,1,1,3
72,1,1,55,1,3,5,1,14
73,1,1,1,1,1,1,24,1
74,724,1,1,9,45,1,1,4
75,1,14,9,1,1,1,41,1
76,1,1,14,1,1,1,3,12
77,3,12,5,1,5,1,1,1
78,1,1,9,26,1,1,36,1
79,28,1,39,1,13,16,9,1
80,1,1,110,1,3,1,42,1
81,1,1,22,4,3,1,1,1
82,191,1,3,1,5,1,69,1
83,1,1,8,1,14,1,58,754
84,15,9,10,1,29,1,5,6
85,3,1,11,1,37,1,1,7
86,1,1,29,3,3,1,1,1
87,3,1,8,1,3,1,7,1
88,1,75,6,1,56,3,1,371
89,6,3,5,1,1,4,5,1
90,1,3,1,1,22,1,107,1
91,12,65,1,1,1,1,7,1
92,1,9,22,1,3,1,1,1
93,1,44,51,1,1,1,1,14
94,1,1,28,1,1,5,16,6
95,1,1,1,5,1,1,1,11
96,1,1,20,1,3,326,8,1
97,1,4,55,1,48,3,8,4
98,11,1,1,1,1,39,3,1
99,1,1,37,7,8,1,13,36
100,7,1,32,1,1,1,10,21
101,1,21,10,1,1,1,1,25
